project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
259812376,Zweistrahl-Rasterelektronenmikroskop,2014,2014,30224825,Universitätsklinikum Würzburg,1,,28709316
286560312,Zweiphotonen-Mikroskop,2015,2015,30224825,Universitätsklinikum Würzburg,1,,34509502
317843613,Konfokales Laserscanningmikroskop,2016,2016,30224825,Universitätsklinikum Würzburg,1,,1602583
326998133,TRR 225: Von den Grundlagen der Biofabrikation zu funktionalen Gewebemodellen,2018,,30224825,Universitätsklinikum Würzburg,3,,28709316
127753559,PUR-Hochdruckreaktionsgießmaschine,2009,2009,10254,Ostfalia Hochschule für angewandte Wissenschaften - Hochschule Braunschweig/Wolfenbüttel -,1,,1329515
128738176,'Frühe Monumentalität in Westmecklenburg': Späte Sammler-Jaeger-Fischergemeinschaften und frühe Bauern im westlichen Mecklenburg,2009,2016,980613,Hochschule für Technik und Wirtschaft Berlin Fachbereich 5: Gestaltung und Kultur,8,,1173425
128738176,'Frühe Monumentalität in Westmecklenburg': Späte Sammler-Jaeger-Fischergemeinschaften und frühe Bauern im westlichen Mecklenburg,2009,2016,29894,Landesamt für Kultur und Denkmalpflege,8,,1173425
132996133,Multiphoton-Laserscanning-Mikroskop,2009,2009,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1064223
141641129,Tomosynthesezusatz für digitales Mammographiegerät,2009,2009,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1758130
142461564,Vollautomatisierte Mikroskopie-basierte zelluläre 'High-Content' Analyse Plattform,2009,2009,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1711047
187400749,Hochauflösendes Tandem-Massenspektrometer (UHPLC-MS/MS),2010,2010,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1159283
189953162,Experimentelles Hochfeld-MRT-System,2011,2011,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1758130
191373756,Hochauflösende Elektrospray-Ionisations Hybrid-Massenspektrometer Plattform,2010,2010,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1252986
213815327,Konfokalmikroskop,2012,2012,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1203168
220349208,Ausrüstung für ein Zwei-Photonen-Mikroskop,2012,2012,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1203168
247250619,2-Photonen Mikroskopie Plattform: Aufrechtes 2-Photonenmikroskop inkl. Laserpaket,2013,2013,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,227479647
